-,kawasaki ninja 300,"Washington, DC",3550.0
2023 Kawasaki ninja,2023,6300,8800
2014 Kawasaki ninja,2014,3500,1400
2022 Kawasaki xpro x24,2022,2800,600
2014 Kawasaki ninja,2014,3800,3400
2008 Kawasaki ninja,2008,1800,4200
2005 Kawasaki ninja,2005,3500,3300
2023 Kawasaki ninja,2023,5700,300
2010 Kawasaki ninja,2010,3200,6300
2016 Kawasaki ninja 300,2016,2500,2500
2018 Kawasaki ninja,2018,5500,800
2020 Kawasaki ninja 400 abs,2020,4500,3500
2012 Kawasaki ninja,2012,1500,500
2008 Kawasaki ninja,2008,2500,3300
2007 Kawasaki 2007 kawasaki ninja,2007,1300,800
2018 Honda cbr,2018,3300,300
2014 Kawasaki ninja 300cc,2014,4000,3400
2019 Kawasaki ninja 650ex,2019,3000,1100
2017 Kawasaki ninja,2017,3500,7900
2022 Kawasaki z400 abs,2022,5200,300
2016 Kawasaki ex300,2016,3600,8300
-,kawasaki ninja 300,"Richmond, VA",3259.52
2016 Kawasaki ninja 300,2016,2500,2500
2013 Kawasaki ninja,2013,3300,2300
2012 Kawasaki ninja,2012,5000,1200
2008 Kawasaki ninja,2008,2500,3300
2023 Kawasaki ninja,2023,6300,8800
2013 Kawasaki ninja,2013,7000,5200
2010 Kawasaki ninja,2010,3200,6300
2005 Kawasaki ninja,2005,3500,3300
2009 Kawasaki ninja,2009,3250,5500
2012 Kawasaki ninja,2012,1500,500
2016 Kawasaki ninja,2016,2500,2700
2013 Kawasaki ninja,2013,2500,1200
2014 Kawasaki ninja,2014,3500,1400
2018 Kawasaki ninja,2018,4500,600
2010 Kawasaki kx,2010,2000,11100
2008 Kawasaki ninja,2008,1800,4200
2014 Kawasaki ninja,2014,3100,900
1992 Kawasaki ninja,1992,2000,1600
2017 Kawasaki ninja,2017,3000,1400
2012 Kawasaki 250r,2012,2700,1600
2022 Kawasaki xpro x24,2022,2800,600
-,kawasaki ninja 300,"Washington, DC",3733.33
2023 Kawasaki ninja,2023,6300,8800
2014 Kawasaki ninja,2014,3500,1400
2014 Kawasaki ninja,2014,3800,3400
2008 Kawasaki ninja,2008,1800,4200
2010 Kawasaki ninja,2010,3200,6300
2018 Kawasaki ninja,2018,5500,800
2005 Kawasaki ninja,2005,3500,3300
2019 Kawasaki ninja 650ex,2019,3000,1100
2022 Kawasaki xpro x24,2022,2800,600
2012 Kawasaki ninja,2012,1500,500
2008 Kawasaki ninja,2008,2500,3300
2023 Kawasaki ninja,2023,5700,300
2020 Kawasaki ninja 400 abs,2020,4500,3500
2007 Kawasaki 2007 kawasaki ninja,2007,1300,800
2016 Kawasaki ninja abs krt 300,2016,3000,2100
2016 Kawasaki ex300,2016,3600,8300
2017 Kawasaki ninja,2017,3500,7900
2014 Kawasaki ninja,2014,3200,2400
2019 Kawasaki ninja 650 abs,2019,6000,1500
2015 Kawasaki ninja,2015,5000,1300
2022 Kawasaki z400 abs,2022,5200,300
-,kawasaki ninja 300,"Richmond, VA",3130.9
2013 Kawasaki ninja,2013,3300,2300
2016 Kawasaki ninja 300,2016,2500,2500
2023 Kawasaki ninja,2023,6300,8800
2009 Kawasaki ninja,2009,3250,5500
2017 Kawasaki ninja,2017,3000,1400
2008 Kawasaki ninja,2008,2500,3300
2012 Kawasaki ninja,2012,1500,500
2000 Kawasaki ninja,2000,1500,12300
2016 Kawasaki ninja,2016,3600,1000
2010 Kawasaki ninja,2010,3200,6300
2013 Kawasaki ninja,2013,7000,5200
2014 Kawasaki ninja,2014,3100,900
2012 Kawasaki ninja,2012,3999,-1
2013 Kawasaki ninja,2013,2500,1200
2014 Kawasaki ninja,2014,3800,3400
2013 Kawasaki ninja,2013,1000,2400
2010 Kawasaki ninja 650r,2010,2900,2700
2005 Kawasaki ninja,2005,3500,3300
2008 Kawasaki ninja,2008,1800,4200
1992 Kawasaki ninja,1992,2000,1600
2014 Kawasaki ninja,2014,3500,1400
-,kawasaki ninja 300,"Virginia Beach, VA",3787.5
2013 Kawasaki ninja,2013,2500,1200
2023 Kawasaki ninja 400 krt edition,2023,4500,1200
2023 Kawasaki ninja,2023,6300,8800
2018 Kawasaki ninja,2018,4500,600
2016 Kawasaki ninja 300,2016,2500,2500
2013 Kawasaki ninja,2013,3300,2300
2010 Kawasaki ninja 650r,2010,2900,2700
2013 Kawasaki ninja,2013,1000,2400
2022 Kawasaki z,2022,3000,300
2023 Kawasaki ninja,2023,5000,4200
2012 Kawasaki ninja,2012,1500,500
2008 Kawasaki ninja,2008,2500,3300
2023 Kawasaki ninja,2023,6750,3900
2010 Kawasaki ninja,2010,3700,5800
2017 Kawasaki ninja,2017,3000,1400
2012 Kawasaki ninja,2012,4500,2700
2014 Kawasaki ninja,2014,4500,1600
2010 Kawasaki ninja,2010,3200,6300
2023 Kawasaki ninja,2023,6800,3600
2014 Kawasaki ninja,2014,3800,3400
-,kawasaki ninja 300,"Orlando, FL",3340.1
2017 Kawasaki ninja,2017,3900,1100
2015 Kawasaki ninja 300 abs,2015,4200,1500
2015 Kawasaki ninja 300 se,2015,2800,1700
2023 Kawasaki ninja,2023,5000,500
2017 Kawasaki ninja 300 abs,2017,4000,8200
2022 Kawasaki ninja,2022,4688,7600
2009 Kawasaki ninja,2009,2000,3000
2014 Kawasaki ninja,2014,4200,7100
2017 Kawasaki ninja,2017,2500,1500
2014 Kawasaki ninja 300 abs spec,2014,4200,7300
2014 Kawasaki ninja 300 part out,2014,1234,1500
2014 Kawasaki ninja,2014,3830,1300
2018 Kawasaki ninja,2018,4050,6700
2007 Kawasaki ninja,2007,2200,5400
2009 Kawasaki ninja,2009,2500,1100
2014 Kawasaki ninja 300 abs se,2014,4500,3500
2012 Kawasaki ninja,2012,3500,3500
2014 Kawasaki ninja 300 (abs),2014,3500,1100
2007 Kawasaki ninja,2007,1500,1900
2011 Kawasaki ninja,2011,2500,15200
-,kawasaki ninja 300,"Jacksonville, FL",3762.67
2011 Kawasaki ninja,2011,2000,1100
2009 Kawasaki ninja,2009,3000,4300
2023 Kawasaki ninja,2023,5500,1500
2015 Kawasaki ninja 300 se,2015,2800,1700
2009 Kawasaki ninja,2009,1234,3000
2001 Kawasaki ninja,2001,3500,200
2019 Kawasaki ninja,2019,5500,9500
2017 Kawasaki ninja 300 abs,2017,4000,8200
2021 Kawasaki ninja,2021,5495,4900
2022 Kawasaki ninja,2022,5699,1900
2017 Kawasaki ninja,2017,3900,1100
1987 Kawasaki ninja,1987,1000,4600
2015 Kawasaki ninja 300 abs,2015,4200,1500
2023 Honda cbr,2023,6000,300
2023 Kawasaki ninja,2023,5000,500
2012 Kawasaki ninja,2012,3500,3500
2009 Kawasaki ninja,2009,2000,3000
2015 Honda cbr300r cbr 300,2015,3400,1900
-,kawasaki ninja 300,"Philadelphia, PA",3214.54
2016 Kawasaki ninja abs krt 300,2016,3000,2100
2018 Kawasaki ninja 400 abs,2018,4000,8500
2014 Kawasaki ninja ex300,2014,2500,700
2017 Kawasaki ninja,2017,3800,1000
2018 Dong Fang gxr,2018,1400,200
2016 Kawasaki ninja 300 abs,2016,4000,2100
2014 Kawasaki ninja,2014,3900,500
2023 Zongshen scooter,2023,1300,100
2014 Kawasaki ninja,2014,3500,8600
2014 Kawasaki ninja,2014,3200,7800
2012 Kawasaki ninja 250cc,2012,1400,6800
2008 Kawasaki ninja 650r,2008,2500,1000
2017 Kawasaki ninja,2017,4999,3500
2011 Kawasaki ninja sx 1000,2011,3200,1400
2013 Kawasaki ninja,2013,6000,2500
2012 Kawasaki ninja,2012,2600,1700
2019 Kawasaki ninja 650ex,2019,3000,1100
2010 Kawasaki ninja,2010,3800,4800
2013 Kawasaki,2013,4200,4900
2004 Kawasaki ninja,2004,2000,100
2014 Kawasaki ninja,2014,3500,1400
2018 Honda cbr,2018,3500,4200
2019 Kawasaki klm140,2019,2250,300
2009 Kawasaki ninja,2009,3600,2500
-,kawasaki ninja 300,"Pittsburgh, PA",3162.18
2009 Kawasaki klx250sf,2009,3300,500
1994 Kawasaki ninja 500ex,1994,1900,1500
2021 Kawasaki ninja,2021,3500,300
2023 Kawasaki ninja,2023,4000,300
2023 Kawasaki ninja trade,2023,1234,2700
2021 Kawasaki ninja replica,2021,1800,1500
2012 Kawasaki ninja,2012,2500,2700
2014 Kawasaki ninja,2014,3400,3400
2017 Kawasaki ninja,2017,4000,2600
2017 Kawasaki other,2017,2000,600
2016 Kawasaki ninja,2016,3500,1800
2017 Kawasaki ninja,2017,4000,3200
2011 Kawasaki ninja,2011,2700,1000
2023 CFMOTO 300ss,2023,4500,1800
2010 Kawasaki ninja,2010,1234,1000
2023 Kawasaki ninja,2023,5000,100
2009 Kawasaki ninja 650r,2009,3500,9200
2019 Kawasaki ninja,2019,7000,3300
2003 Kawasaki ninja,2003,1000,1000
2008 Kawasaki ninja,2008,2500,3600
2010 Kawasaki 250r special edition,2010,3000,4100
2005 Kawasaki ninja zx10r,2005,4000,3100
-,kawasaki ninja 300,"Baltimore, MD",3342.86
2023 Kawasaki ninja,2023,6300,8800
2014 Kawasaki ninja,2014,3500,1400
2019 Kawasaki ninja 650ex,2019,3000,1100
2012 Kawasaki ninja,2012,2600,1700
2012 Kawasaki ninja,2012,1500,500
2018 Kawasaki ninja,2018,5500,800
2014 Kawasaki ninja,2014,3200,2400
2017 Kawasaki ninja,2017,3500,7900
2014 Kawasaki ninja,2014,3800,3400
2013 Kawasaki ninja,2013,3600,3200
2022 Kawasaki xpro x24,2022,2800,600
2007 Kawasaki 2007 kawasaki ninja,2007,1300,800
2016 Kawasaki ninja abs krt 300,2016,3000,2100
2021 Kawasaki ninja,2021,5100,3700
2014 Kawasaki ninja,2014,3200,1100
2023 Kawasaki z400(abs),2023,4200,1800
2016 Kawasaki ninja 300 abs,2016,4000,2100
2005 Kawasaki ninja,2005,2000,2100
2017 Kawasaki ninja,2017,3800,1000
2008 Kawasaki ninja,2008,1800,4200
2008 Kawasaki ninja,2008,2500,3300
-,kawasaki ninja 300,"New York City, NY",3158.28
2013 Kawasaki ninja,2013,3500,1300
2014 Kawasaki ninja,2014,3500,8600
2023 Electric motorcycle kawasaki,2023,1499,-1
2009 Kawasaki ninja,2009,3000,1200
2014 Kawasaki ninja,2014,3300,700
2017 Kawasaki ninja,2017,3800,1000
2004 Kawasaki ninja,2004,2000,100
2014 Kawasaki ninja ex300,2014,2500,700
2018 Kawasaki ninja,2018,4500,5900
2021 Kawasaki z,2021,2000,832
2017 Kawasaki ninja,2017,4300,6700
2022 Kawasaki ninja,2022,5500,500
2023 Kawasaki dragon 200,2023,1600,500
2018 Kawasaki ninja 400 abs,2018,4000,8500
2017 Kawasaki ninja,2017,4500,4600
2012 Kawasaki ninja,2012,3500,4500
2008 Kawasaki ninja 650r,2008,2500,1000
2023 Vitacci falcon,2023,1350,750
-,kawasaki ninja 300,"Atlanta, GA",3778.47
2015 Kawasaki ninja,2015,3700,1900
2004 Kawasaki ninja,2004,4500,2000
2012 Kawasaki \ud83e\udd77  ninja,2012,3600,2400
2014 Kawasaki ninja 300 special edition,2014,4500,9200
2021 Kawasaki ninja 400 abs,2021,1234,5800
2012 Honda Cbr250r,2012,2800,2000
2022 Kawasaki ninja ex400,2022,5000,3300
2009 Kawasaki ninja,2009,4000,1700
2019 Kawasaki ninja ex650,2019,5500,1400
2006 Kawasaki eliminator,2006,1300,5500
2012 Kawasaki ninja,2012,3000,2000
2017 Kawasaki ninja,2017,6000,300
2018 Kawasaki ninja,2018,5350,6200
2015 Kawasaki ninja,2015,3000,3000
2005 Kawasaki,2005,4000,1900
2015 Yamaha yzf,2015,3500,3500
2015 Honda cbr,2015,3250,7500
-,kawasaki ninja 300,"Newark, NJ",3157.84
2018 Kawasaki ninja,2018,4500,5900
2014 Kawasaki ninja,2014,3500,8600
2016 Kawasaki ninja abs krt 300,2016,3000,2100
2023 Electric motorcycle kawasaki,2023,1499,-1
2017 Kawasaki ninja,2017,3800,1000
2013 Kawasaki ninja,2013,3500,1300
2009 Kawasaki ninja,2009,3000,1200
2021 Kawasaki z,2021,2000,832
2014 Kawasaki ninja ex300,2014,2500,700
2004 Kawasaki ninja,2004,2000,100
2014 Kawasaki ninja,2014,3300,700
2017 Kawasaki ninja,2017,4300,6700
2018 Kawasaki ninja 400 abs,2018,4000,8500
2012 Kawasaki ninja,2012,3500,4500
2008 Kawasaki ninja 650r,2008,2500,1000
2022 Kawasaki ninja,2022,5500,500
2008 Kawasaki ninja,2008,3000,1200
2008 Kawasaki ninja,2008,3000,900
2023 Kawasaki dragon 200,2023,1600,500
-,kawasaki ninja 300,"Cleveland, OH",3476.19
2017 Kawasaki ninja,2017,4000,2600
2016 Kawasaki ninja,2016,3500,1800
2005 Kawasaki ninja,2005,2500,2200
2014 Kawasaki ninja 300 special edition,2014,4000,8300
2017 Kawasaki other,2017,2000,600
2009 Kawasaki ninja,2009,2500,1300
2023 Kawasaki ninja,2023,5500,3100
2022 JiangsuBaodiago bd125-11,2022,1800,300
2023 Kawasaki ninja,2023,5000,100
2021 Kawasaki ninja 400 abs,2021,5500,2100
2023 Kawasaki ninja 400 krt custom,2023,3000,7500
2021 Kawasaki ninja,2021,4500,300
2013 Kawasaki 650 ninja,2013,3600,1300
2014 Kawasaki ninja,2014,3500,1100
2014 Kawasaki ninja 300 abs,2014,3200,1500
2009 Kawasaki ninja,2009,3000,5600
2012 Kawasaki ninja,2012,3000,3500
2017 Yamaha yzf,2017,3800,1900
2006 Kawasaki ninja,2006,2500,8700
2017 Kawasaki ninja 300 abs krt edition,2017,4500,1100
2012 Honda cbr 250r,2012,2100,1600
-,kawasaki ninja 300,"Charlotte, NC",3785.41
2023 Kawasaki ninja,2023,4995,2100
2023 Kawasaki ninja,2023,1234,2500
2014 Kawasaki ninja,2014,3800,1500
2013 Kawasaki ninja,2013,2500,1200
2017 Kawasaki ninja,2017,4800,6500
2014 Kawasaki ninja,2014,4000,7500
2021 Kawasaki ninja,2021,4500,500
2007 Kawasaki 650r,2007,3500,1800
2010 Kawasaki ninja,2010,2300,1800
2019 Kawasaki ninja 400 abs,2019,4500,8600
2020 Kawasaki ninja,2020,6000,4800
2005 Kawasaki ninja,2005,3500,2100
2012 Kawasaki ninja,2012,3000,2600
2014 Kawasaki ninja,2014,3500,1300
2022 Kawasaki z,2022,4250,336
