NAME,MAKE,MODEL,YEAR,TYPE,COLOR,INTCOLOR,MILES,PRICE,SOURCE
-,kawasaki ninja 300,"Washington, DC",74092,-,-,-,-,-
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,3700,2000,FACEBOOK
2020 Kawasaki ninja,-1,-1,2020,-1,-1,-1,1100,5440,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,8800,3800,FACEBOOK
2022 Kawasaki ninja,-1,-1,2022,-1,-1,-1,5700,4600,FACEBOOK
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,1600,4000,FACEBOOK
2023 Nija kawasaki,-1,-1,2023,-1,-1,-1,18000,4000,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,300,5700,FACEBOOK
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,2400,3800,FACEBOOK
2011 Kawasaki ninja,-1,-1,2011,-1,-1,-1,20000,1820,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,4500,3700,FACEBOOK
2014 Kawasaki ninja 300abs,-1,-1,2014,-1,-1,-1,14000,3500,FACEBOOK
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,3000,5000,FACEBOOK
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,3000,1234,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,12000,3100,FACEBOOK
2016 Kawasaki ex300,-1,-1,2016,-1,-1,-1,8300,3600,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,1000,5999,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,2900,3999,FACEBOOK
2016 Kawasaki ex300,-1,-1,2016,-1,-1,-1,8300,3600,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,6700,5200,FACEBOOK
-,kawasaki ninja 300,"Richmond, VA",73074,-,-,-,-,-
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,3000,1234,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,13000,2500,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,3700,2000,FACEBOOK
2022 Kawasaki ninja,-1,-1,2022,-1,-1,-1,9900,4900,FACEBOOK
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,14000,3000,FACEBOOK
2020 Kawasaki ninja,-1,-1,2020,-1,-1,-1,1100,5440,FACEBOOK
2022 Kawasaki ninja,-1,-1,2022,-1,-1,-1,5700,4600,FACEBOOK
2023 Kawasaki ninja 400 abs,-1,-1,2023,-1,-1,-1,4100,5500,FACEBOOK
2021 Kawasaki ninja,-1,-1,2021,-1,-1,-1,16000,4500,FACEBOOK
2021 Kawasaki ninja,-1,-1,2021,-1,-1,-1,2500,5000,FACEBOOK
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,2700,2500,FACEBOOK
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,33000,2000,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,12000,3100,FACEBOOK
2004 Kawasaki ninja,-1,-1,2004,-1,-1,-1,6300,1500,FACEBOOK
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,10000,2500,FACEBOOK
2017 Kawasaki ninja 300cc,-1,-1,2017,-1,-1,-1,4000,4300,FACEBOOK
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,3800,1500,FACEBOOK
2010 Kawasaki versys,-1,-1,2010,-1,-1,-1,19000,3500,FACEBOOK
2021 Kawasaki z,-1,-1,2021,-1,-1,-1,3600,4300,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,4500,3700,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,-1,5500,FACEBOOK
-,kawasaki ninja 300,"Virginia Beach, VA",87168,-,-,-,-,-
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,3700,2000,FACEBOOK
2018 Kawasaki ninja,-1,-1,2018,-1,-1,-1,6000,4500,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,581,6000,FACEBOOK
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,3000,1234,FACEBOOK
2006 Kawasaki ninja,-1,-1,2006,-1,-1,-1,26000,4000,FACEBOOK
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,12000,2500,FACEBOOK
2010 Kawasaki ninja,-1,-1,2010,-1,-1,-1,5800,3700,FACEBOOK
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,8000,4500,FACEBOOK
2020 Kawasaki ninja,-1,-1,2020,-1,-1,-1,1100,5440,FACEBOOK
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,14000,3000,FACEBOOK
2021 Kawasaki versys x 300,-1,-1,2021,-1,-1,-1,4800,5199,FACEBOOK
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,3900,6750,FACEBOOK
2017 Kawasaki ninja 300cc,-1,-1,2017,-1,-1,-1,4000,4300,FACEBOOK
2022 Kawasaki ninja,-1,-1,2022,-1,-1,-1,5700,4600,FACEBOOK
2019 Kawasaki ninja,-1,-1,2019,-1,-1,-1,2600,7000,FACEBOOK
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,33000,2000,FACEBOOK
2009 Kawasaki ninja,-1,-1,2009,-1,-1,-1,17000,2345,FACEBOOK
2022 Kawasaki z,-1,-1,2022,-1,-1,-1,300,3000,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,13000,2500,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,8900,3900,FACEBOOK
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,4500,3700,FACEBOOK
2021 Kawasaki ninja,-1,-1,2021,-1,-1,-1,2500,5000,FACEBOOK
-,kawasaki ninja 300,"Washington, DC",1458440,-,-,-,-,-
Used 2022 Lexus GX 460 Premium,Lexus,GX 460,2022,8-Cylinder,Silver,Black,33995,49584,AUTOTRADER
Used 1995 Ford Bronco,Ford,Bronco,1995,8-Cylinder,Black,Gray,191000,7000,AUTOTRADER
Used 2020 Acura MDX SH-AWD,Acura,MDX,2020,6-Cylinder,Offwhite,Unavail,20260,32936,AUTOTRADER
New 2023 Nissan Rogue SL,Nissan,Rogue,2023,3-Cylinder Turbo,Red,Black,4,36583,AUTOTRADER
Used 2021 Honda Pilot Touring,Honda,Pilot,2021,6-Cylinder,,,12734,36705,AUTOTRADER
Used 2020 Cadillac XT5 Premium Luxury,Cadillac,XT5,2020,6-Cylinder,Red,Black,39729,29226,AUTOTRADER
Used 2016 MAZDA CX-5 Touring,MAZDA,CX-5,2016,4-Cylinder,Red,Black,68413,16250,AUTOTRADER
Used 2020 Kia Optima EX,Kia,Optima,2020,4-Cylinder Turbo,White,Black,39257,20250,AUTOTRADER
Used 2023 Mercedes-Benz GLA 250 4MATIC,Mercedes-Benz,GLA 250,2023,4-Cylinder Turbo,White,Beige,7325,36495,AUTOTRADER
Used 2017 Mercedes-Benz SL 63 AMG,Mercedes-Benz,SL 63 AMG,2017,8-Cylinder Turbo,Brown,Black,40365,65995,AUTOTRADER
Used 2018 Toyota Corolla iM,Toyota,Corolla,2018,4-Cylinder,,,55918,16800,AUTOTRADER
Used 2021 Toyota RAV4 LE,Toyota,RAV4,2021,4-Cylinder,,Black,28999,25500,AUTOTRADER
Used 2021 Toyota RAV4 LE,Toyota,RAV4,2021,4-Cylinder,Red,Gray,7775,26300,AUTOTRADER
Used 2021 Toyota RAV4 LE,Toyota,RAV4,2021,Hybrid,Gray,Black,27082,28500,AUTOTRADER
Used 2021 Toyota Highlander XLE,Toyota,Highlander,2021,6-Cylinder,Silver,Black,20039,35000,AUTOTRADER
Certified 2020 Honda CR-V LX,Honda,CR-V,2020,4-Cylinder Turbo,Silver,,31275,22995,AUTOTRADER
Used 2022 Alfa Romeo Stelvio Veloce,Alfa Romeo,Stelvio,2022,4-Cylinder Turbo,Red,Red,15500,34900,AUTOTRADER
Used 2021 Jeep Grand Cherokee Limited,Jeep,Grand Cherokee,2021,6-Cylinder,White,Black,27982,29000,AUTOTRADER
Used 2014 Mercedes-Benz CLS 550 4MATIC,Mercedes-Benz,CLS 550,2014,8-Cylinder Turbo,Black,Black,99000,15700,AUTOTRADER
Used 2011 Porsche Panamera 4,Porsche,Panamera,2011,6-Cylinder,Black,Beige,77500,17900,AUTOTRADER
Certified 2020 Honda CR-V EX,Honda,CR-V,2020,4-Cylinder Turbo,Gray,Gray,38414,22915,AUTOTRADER
Certified 2023 Honda Accord EX,Honda,Accord,2023,4-Cylinder Turbo,White,Black,3159,27417,AUTOTRADER
Used 2023 Honda Accord Sport,Honda,Accord,2023,Hybrid,Offwhite,Black,6554,28997,AUTOTRADER
Used 2022 Toyota Camry SE,Toyota,Camry,2022,4-Cylinder,Gray,Black,13092,24000,AUTOTRADER
Used 2019 Ford Fusion SE,Ford,Fusion,2019,4-Cylinder Turbo,Silver,Black,27284,17950,AUTOTRADER
Used 2018 Honda Civic LX,Honda,Civic,2018,4-Cylinder,Black,Black,38358,18750,AUTOTRADER
Used 2019 Lincoln MKZ Premiere,Lincoln,MKZ,2019,Hybrid,Brown,Black,37184,22850,AUTOTRADER
Used 2019 Lexus ES 350 Luxury,Lexus,ES 350,2019,6-Cylinder,White,Black,34428,31490,AUTOTRADER
Used 2019 Volkswagen Golf 4-Door,Volkswagen,Golf,2019,4-Cylinder Turbo,,,45890,25000,AUTOTRADER
Used 2017 BMW 530i xDrive,BMW,530i xDrive,2017,4-Cylinder Turbo,Gray,Unavail,66351,20950,AUTOTRADER
Used 2022 Toyota Tacoma TRD Off-Road,Toyota,Tacoma,2022,6-Cylinder,Gray,Black,16575,41950,AUTOTRADER
Used 2016 Mercedes-Benz C 300 Sedan,Mercedes-Benz,C 300,2016,4-Cylinder Turbo,Blue,Gray,49667,17999,AUTOTRADER
Used 2019 Lexus RX 350 AWD,Lexus,RX 350,2019,6-Cylinder,White,Black,49841,31237,AUTOTRADER
Used 2020 Hyundai Kona SE,Hyundai,Kona,2020,4-Cylinder,Silver,Black,8074,18581,AUTOTRADER
Used 2021 Kia Sportage EX,Kia,Sportage,2021,4-Cylinder,Blue,Black,23503,21990,AUTOTRADER
Used 2019 Honda Accord EX,Honda,Accord,2019,Hybrid,Offwhite,Black,14525,24324,AUTOTRADER
Used 2021 Honda CR-V EX,Honda,CR-V,2021,4-Cylinder Turbo,Silver,Gray,17571,27669,AUTOTRADER
Used 2021 GMC Yukon XL Denali,GMC,Yukon XL,2021,8-Cylinder,Black,Black,10600,68900,AUTOTRADER
